channel,longitude,latitude,elevation
188,18.091905,42.648214,59.621483
189,18.091819,42.648233,59.621483
190,18.091732,42.648251,65.36475
191,18.091646,42.64827,65.36475
192,18.09156,42.648288,65.36475
193,18.091473,42.648307,67.71942
194,18.091386,42.64832,67.71942
195,18.091297,42.648331,67.71942
196,18.091208,42.648341,71.36272
197,18.09112,42.648352,71.36272
198,18.091031,42.648361,71.36272
199,18.090941,42.648368,75.64484
200,18.090852,42.648374,75.64484
201,18.090762,42.648381,75.64484
202,18.090673,42.648387,77.52013
203,18.090584,42.648394,77.52013
204,18.090494,42.6484,77.52013
205,18.090405,42.648407,78.43992
206,18.090315,42.648413,78.43992
207,18.090226,42.64842,78.43992
208,18.090137,42.648426,76.814644
209,18.090047,42.648433,76.814644
210,18.089958,42.64844,76.814644
211,18.089869,42.648446,76.814644
212,18.089779,42.648453,73.46959
213,18.08969,42.648459,73.46959
214,18.0896,42.648466,73.46959
215,18.089511,42.64847,68.94504
216,18.089421,42.64847,68.94504
217,18.089331,42.648469,68.94504
218,18.089241,42.648469,65.544464
219,18.089151,42.648468,65.544464
220,18.089062,42.648468,65.544464
221,18.088972,42.648468,67.31647
222,18.088882,42.648467,67.31647
223,18.088792,42.648467,67.31647
224,18.088702,42.648466,69.5784
225,18.088612,42.648466,69.5784
226,18.088523,42.648465,69.5784
227,18.088433,42.648471,66.58768
228,18.088349,42.648493,65.76843
229,18.088264,42.648515,65.76843
230,18.08818,42.648538,67.61692
231,18.088095,42.648561,67.61692
232,18.088011,42.648584,67.61692
233,18.087927,42.648607,67.61692
234,18.087859,42.64865,68.254166
235,18.087796,42.648697,68.254166
236,18.087733,42.648744,68.254166
237,18.087669,42.648791,76.69088
238,18.087606,42.648838,77.249084
239,18.08754,42.648883,77.249084
240,18.087496,42.648939,77.249084
241,18.087464,42.649001,77.249084
242,18.087432,42.649063,87.430595
243,18.087399,42.649124,87.430595
244,18.087367,42.649186,87.430595
245,18.087334,42.649248,83.28835
246,18.087302,42.64931,92.43114
247,18.08727,42.649372,92.43114
248,18.087237,42.649434,92.43114
249,18.087205,42.649496,92.43114
250,18.087167,42.649555,92.43114
251,18.087141,42.649619,96.63555
252,18.087117,42.649683,96.63555
253,18.087093,42.649747,96.63555
254,18.087069,42.64981,93.53822
255,18.087045,42.649874,94.36616
256,18.087021,42.649938,94.36616
257,18.086997,42.650002,94.36616
258,18.086973,42.650066,94.36616
259,18.086949,42.65013,94.36616
260,18.086925,42.650194,91.197395
261,18.086901,42.650258,91.197395
262,18.086879,42.650322,91.197395
263,18.086855,42.650386,91.197395
264,18.086831,42.65045,81.43996
265,18.086808,42.650514,81.43996
266,18.086784,42.650578,78.76623
267,18.08676,42.650642,78.76623
268,18.086737,42.650706,69.161545
269,18.086713,42.65077,69.161545
270,18.086689,42.650834,69.161545
271,18.086665,42.650898,69.161545
272,18.086638,42.650961,69.161545
273,18.086605,42.651022,65.206116
274,18.086572,42.651084,65.206116
275,18.086538,42.651146,65.206116
276,18.086505,42.651207,64.04993
277,18.086472,42.651269,49.443962
278,18.086439,42.651331,49.443962
279,18.086406,42.651392,49.443962
280,18.086372,42.651454,49.443962
281,18.086329,42.651511,49.443962
282,18.086274,42.651564,36.968212
283,18.086218,42.651616,36.806713
284,18.086163,42.651668,36.806713
285,18.086108,42.65172,36.806713
286,18.086053,42.651773,36.806713
287,18.085997,42.651825,24.291122
288,18.085942,42.651877,24.06072
289,18.085887,42.651929,24.06072
290,18.085813,42.651967,24.06072
291,18.085736,42.652001,24.06072
292,18.085658,42.652034,22.988298
293,18.08558,42.652067,22.988298
294,18.085502,42.6521,14.452742
295,18.085424,42.652133,14.452742
296,18.085347,42.652166,17.68206
297,18.085269,42.652199,17.68206
298,18.085191,42.652233,17.68206
299,18.085112,42.652263,24.25432
300,18.085028,42.652287,24.25432
301,18.084944,42.65231,24.25432
302,18.084859,42.652334,27.72315
303,18.084775,42.652357,27.72315
304,18.084691,42.65238,13.531834
305,18.084607,42.652403,13.531834
306,18.084523,42.652427,16.575262
307,18.084439,42.65245,16.575262
308,18.084355,42.652474,16.575262
309,18.084273,42.6525,20.972717
310,18.084189,42.652525,20.972717
311,18.084106,42.652549,20.972717
312,18.084022,42.652573,26.244167
313,18.083938,42.652597,26.244167
314,18.083854,42.652621,26.244167
315,18.083771,42.652645,16.495153
316,18.083687,42.652669,18.828688
317,18.083603,42.652693,18.828688
318,18.08352,42.652717,18.828688
319,18.083436,42.652741,22.549774
320,18.083352,42.652765,22.549774
321,18.083269,42.65279,22.549774
322,18.083185,42.652814,22.997936
323,18.083101,42.652838,22.997936
324,18.083018,42.652862,22.997936
325,18.082934,42.652886,22.997936
326,18.08285,42.652911,25.501535
327,18.082767,42.652935,21.114637
328,18.082683,42.652958,21.114637
329,18.082606,42.652993,24.481758
330,18.08253,42.653028,24.481758
331,18.082454,42.653063,24.481758
332,18.082377,42.653098,24.481758
333,18.082301,42.653133,24.783895
334,18.082232,42.653174,24.783895
335,18.082185,42.653231,21.853321
336,18.082138,42.653287,21.853321
337,18.08209,42.653344,21.853321
338,18.082043,42.6534,23.97422
339,18.081996,42.653456,23.97422
340,18.081949,42.653513,18.965628
341,18.081901,42.653569,18.965628
342,18.081854,42.653626,18.965628
343,18.081807,42.653682,18.965628
344,18.08176,42.653739,19.758217
345,18.081713,42.653795,22.161907
346,18.081701,42.653861,22.161907
347,18.081676,42.653924,22.161907
348,18.08165,42.653988,22.161907
349,18.081653,42.654053,35.3191
350,18.081658,42.654119,35.3191
351,18.081628,42.654181,35.3191
352,18.081594,42.654243,35.3191
353,18.081558,42.654303,35.3191
354,18.081524,42.654365,39.314438
355,18.08149,42.654426,39.314438
356,18.081455,42.654487,39.314438
357,18.08142,42.654548,39.314438
358,18.081385,42.654609,46.21637
359,18.08135,42.65467,46.21637
360,18.081315,42.654731,46.21637
361,18.08128,42.654792,46.21637
362,18.081245,42.654854,47.73381
363,18.081211,42.654915,48.40089
364,18.081177,42.654976,48.40089
365,18.081143,42.655038,48.40089
366,18.081107,42.655098,48.40089
367,18.08107,42.655159,40.811134
368,18.081035,42.65522,40.811134
369,18.081,42.655281,40.811134
370,18.080965,42.655342,41.47079
371,18.080931,42.655403,41.47079
372,18.080896,42.655464,35.83808
